respondent_id,nps_score,open_text,segment,timestamp
RESP-0195,3,We're considering switching to a competitor.,Startup,2025-06-01T03:14:10
RESP-0437,10,Excellent customer support.,SMB,2025-06-01T03:41:33
RESP-0188,7,Useful but a bit slow with large datasets.,Enterprise,2025-06-01T07:13:28
RESP-0472,9,Very intuitive interface.,Enterprise,2025-06-01T11:21:06
RESP-0385,9,Best analytics tool we've tried.,Mid-Market,2025-06-01T14:49:47
RESP-0003,8,"Good overall, but the export feature needs work.",SMB,2025-06-01T15:14:04
RESP-0144,10,Exactly what we needed for our marketing team.,Startup,2025-06-01T15:14:14
RESP-0069,8,"Good overall, but the export feature needs work.",Enterprise,2025-06-02T17:20:28
RESP-0414,2,We're considering switching to a competitor.,Startup,2025-06-02T22:02:25
RESP-0042,8,Useful but a bit slow with large datasets.,Startup,2025-06-03T01:32:09
RESP-0292,10,Really easy to use. Saves us hours each week.,Enterprise,2025-06-03T05:27:41
RESP-0070,10,Powerful and easy to learn.,Enterprise,2025-06-03T09:22:58
RESP-0441,10,Solid reporting features. Would recommend.,Enterprise,2025-06-03T10:46:33
RESP-0208,3,Missing key integrations we need.,Enterprise,2025-06-03T17:24:14
RESP-0270,10,Solid reporting features. Would recommend.,Mid-Market,2025-06-04T06:27:24
RESP-0142,7,Useful but a bit slow with large datasets.,Enterprise,2025-06-04T21:15:20
RESP-0207,8,"Does what we need, nothing more.",Startup,2025-06-05T01:59:27
RESP-0463,10,Excellent customer support.,Enterprise,2025-06-05T12:41:21
RESP-0288,9,The team loves it. Onboarding was smooth.,Mid-Market,2025-06-05T18:15:04
RESP-0457,8,"Good overall, but the export feature needs work.",Startup,2025-06-05T21:27:21
RESP-0327,9,Love the funnel analysis feature.,Enterprise,2025-06-06T20:48:29
RESP-0004,8,Decent tool. Wish it had better integrations.,Mid-Market,2025-06-07T09:28:19
RESP-0135,8,Decent tool. Wish it had better integrations.,Startup,2025-06-07T15:08:11
RESP-0267,5,Missing key integrations we need.,Startup,2025-06-07T16:35:44
RESP-0147,10,Excellent customer support.,Mid-Market,2025-06-07T20:38:34
RESP-0235,8,It's fine for basic reporting.,Mid-Market,2025-06-07T21:42:35
RESP-0262,7,Adequate for our current needs.,Mid-Market,2025-06-08T14:47:10
RESP-0344,9,Love the funnel analysis feature.,Startup,2025-06-08T15:57:25
